name,date,sleep_hours,sleep_quality,spend_inr,category,screen_time,worked_out,data_source
Peethambaran PP,2026-07-20,8.3,4,142.0,Bills,6.7,0,synthetic
Peethambaran PP,2026-07-21,7.5,4,166.0,Transport,8.7,1,synthetic
Peethambaran PP,2026-07-22,6.8,3,246.0,Bills,2.2,1,synthetic
Peethambaran PP,2026-07-23,7.3,4,194.0,Shopping,10.3,0,synthetic
Peethambaran PP,2026-07-24,7.9,4,34.0,Entertainment,1.0,1,synthetic
Peethambaran PP,2026-07-25,6.8,3,207.0,Food,6.6,0,synthetic
Peethambaran PP,2026-07-26,7.3,4,216.0,Transport,6.1,1,synthetic
Peethambaran PP,2026-07-27,6.2,3,95.0,Food,5.9,0,synthetic
Peethambaran PP,2026-07-28,8.3,4,100.0,Shopping,10.9,0,synthetic
Peethambaran PP,2026-07-29,8.4,4,187.0,Transport,7.4,0,synthetic
Peethambaran PP,2026-07-30,8.5,4,166.0,Shopping,7.8,0,synthetic
Peethambaran PP,2026-07-31,7.2,4,294.0,Transport,5.9,1,synthetic
Peethambaran PP,2026-08-01,6.3,3,217.0,Shopping,4.4,1,synthetic
Peethambaran PP,2026-08-02,7.5,4,0.0,Bills,3.1,0,synthetic
Peethambaran PP,2026-08-03,8.9,4,73.0,Other,5.9,1,synthetic
Peethambaran PP,2026-08-04,8.0,4,57.0,Food,9.8,0,synthetic
Peethambaran PP,2026-08-05,9.1,5,167.0,Shopping,1.0,1,synthetic
Peethambaran PP,2026-08-06,6.8,3,128.0,Food,10.5,0,synthetic
Peethambaran PP,2026-08-07,8.8,4,274.0,Bills,8.6,1,synthetic
Peethambaran PP,2026-08-12,8.0,4,200.5,Food,6.0,1,real
Shreya P,2026-07-15,7.1,4,138.0,Entertainment,10.9,1,synthetic
Shreya P,2026-07-16,7.3,4,111.0,Entertainment,6.9,1,synthetic
Shreya P,2026-07-17,7.3,4,316.0,Entertainment,10.2,1,synthetic
Shreya P,2026-07-18,6.6,3,0.0,Food,5.5,1,synthetic
Shreya P,2026-07-19,7.0,4,308.0,Shopping,9.4,1,synthetic
Shreya P,2026-07-20,6.7,3,169.0,Bills,9.9,1,synthetic
Shreya P,2026-07-21,5.2,3,257.0,Shopping,9.2,0,synthetic
Shreya P,2026-07-22,6.5,3,271.0,Food,11.3,1,synthetic
Shreya P,2026-07-23,8.0,4,111.0,Bills,8.9,0,synthetic
Shreya P,2026-07-24,6.4,3,233.0,Entertainment,6.7,1,synthetic
Shreya P,2026-07-25,6.7,3,106.0,Entertainment,7.7,1,synthetic
Shreya P,2026-07-26,7.5,4,239.0,Shopping,11.9,0,synthetic
Shreya P,2026-07-27,6.1,3,50.0,Bills,3.6,1,synthetic
Shreya P,2026-07-28,8.8,4,228.0,Transport,6.6,0,synthetic
Shreya P,2026-07-29,7.1,4,208.0,Food,9.2,0,synthetic
Shreya P,2026-07-30,7.3,4,301.0,Entertainment,11.4,1,synthetic
Shreya P,2026-07-31,5.8,3,140.0,Shopping,8.1,0,synthetic
Shreya P,2026-08-01,8.3,4,209.0,Food,8.7,0,synthetic
Shreya P,2026-08-02,5.8,3,18.0,Food,10.1,1,synthetic
Shreya P,2026-08-03,7.1,4,196.0,Shopping,14.0,1,synthetic
Shreya P,2026-08-04,6.7,3,128.0,Shopping,1.3,0,synthetic
Shreya P,2026-08-05,6.9,3,316.0,Transport,11.3,1,synthetic
Shreya P,2026-08-06,6.7,3,65.0,Entertainment,14.0,1,synthetic
Shreya P,2026-08-07,7.1,4,185.0,Food,8.1,1,synthetic
Shreya P,2026-08-12,7.0,3,750.5,Bills,8.0,0,real
